,Place,Team,Prize money
0,1st,Team Spirit,"$18,208,300"
1,2nd,PSG.LGD,"$5,202,400"
2,3rd,Team Secret,"$3,601,600"
3,4th,Invictus Gaming,"$2,401,100"
4,5th–6th,Vici Gaming,"$1,400,600"
5,5th–6th,Virtus.pro,"$1,400,600"
6,7th–8th,OG,"$1,000,500"
7,7th–8th,T1,"$1,000,500"
8,9th–12th,Alliance,"$800,400"
9,9th–12th,Evil Geniuses,"$800,400"
10,9th–12th,Fnatic,"$800,400"
11,9th–12th,Quincy Crew,"$800,400"
12,13th–16th,Beastcoast,"$600,300"
13,13th–16th,Elephant,"$600,300"
14,13th–16th,Team Aster,"$600,300"
15,13th–16th,Team Undying,"$600,300"
16,17th–18th,SG esports,"$100,000"
17,17th–18th,Thunder Predator,"$100,000"
