,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 2 (Bo3), Vici Gaming,1, Newbee,2
1,Upper Bracket Round 2 (Bo3), Evil Geniuses,2, Team DK,0
2,Upper Bracket Final, Newbee,2, Evil Geniuses,0
3,Lower Bracket Round 1 (Bo3), Cloud9,2, Natus Vincere,1
4,Lower Bracket Round 1 (Bo3), Invictus Gaming,1, LGD Gaming,2
5,Lower Bracket Round 2 (Bo3), Vici Gaming,2, Cloud9,1
6,Lower Bracket Round 2 (Bo3), Team DK,2, LGD Gaming,1
7,Lower Bracket Round 3 (Bo3), Vici Gaming,2, Team DK,0
8,Lower Bracket Round 4 (Bo3), Evil Geniuses,1, Vici Gaming,2
9,Grand Final, Newbee,3, Vici Gaming,1
