,#,Country / Region,Representation,Players
0,1,China,19 / 80 (24%),"820, Awoke, Banana, DD, Faith, Ferrari_430, Hao, insence, Kabu, ksssssss, LaNm, QQQ, SanSheng, seaking, SJQ, X!!, xiao8, Yao, Zhou"
1,2,Denmark,9 / 80 (11%),"AngeL, eatenfish, Maelk, MaNia, miGGel, MiSeRy, PlaymatE, Ryze, syndereN"
2,3,Russia,7 / 80 (9%),"Ars-Art, Azen, Dread, God, LighTofHeaveN, NS, Santa"
3,4,France,5 / 80 (6%),"Maldejambes, Ph0eniX, Pseudo, Sockshka, VladTepes"
4,4,Malaysia,5 / 80 (6%),"kYxY, Net, Sharky, SilverCross, xiaoling"
5,4,Philippines,5 / 80 (6%),"John, Julz, Owa, VASH, Wootz"
6,4,Singapore,5 / 80 (6%),"Chawy, Hyhy, Roy, ToFu, Xy-"
7,4,Thailand,5 / 80 (6%),"aabBAA, l3nu, LaKelz, Lookball, TnK"
8,9,Czechia,3 / 80 (4%),"CraNich, lacek, Tonci"
9,9,Germany,3 / 80 (4%),"Kebap, Kev-, KuroKy"
10,9,Ukraine,3 / 80 (4%),"Artstyle, Dendi, XBOCT"
11,12,Slovakia,2 / 80 (3%),"Tulex, Warlog"
12,12,Sweden,2 / 80 (3%),"Mirakel, Pajkatt"
13,12,United States,2 / 80 (3%),"DeMoN, Fear"
14,15,Canada,1 / 80 (1%),1437
15,15,Croatia,1 / 80 (1%),Lacoste
16,15,Estonia,1 / 80 (1%),Puppey
17,15,Macau,1 / 80 (1%),DDC
18,15,Romania,1 / 80 (1%),ComeWithMe
