,Place,Prize Money,Team
0,1,"$10,862,683 ",Team Liquid
1,2,"$3,950,067 ",Newbee
2,3,"$2,592,231 ",LGD.Forever Young
3,4,"$1,728,154 ",LGD Gaming
4,5,"$1,110,956 ",Invictus Gaming
5,6,"$1,110,956 ",Virtus.pro
6,7,"$617,198 ",OG
7,8,"$617,198 ",Team Empire
8,9,"$370,319 ",Digital Chaos
9,10,"$370,319 ",Evil Geniuses
10,11,"$370,319 ",Team Secret
11,12,"$370,319 ",TNC Pro Team
12,13,"$123,440 ",Cloud9
13,14,"$123,440 ",Execration
14,15,"$123,440 ",iG Vitality
15,16,"$123,440 ",Infamous
16,17,"$61,720 ",Fnatic
17,18,"$61,720 ",HellRaisers
