Year,Date,Teams,Prize pool,Champion,Finals,Runner-up,Venue
2011,August 17–21,16,"$1,600,000 ",Natus Vincere,3–1,EHOME,Koelnmesse (Cologne)
2012,August 31 – September 2,16,"$1,600,000 ",Invictus Gaming,3–1,Natus Vincere,Benaroya Hall (Seattle)
2013,August 7–11,16,"$2,874,380 ",Alliance,3–2,Natus Vincere,Benaroya Hall (Seattle)
2014,July 18–21,16,"$10,923,977 ",Newbee,3–1,Vici Gaming,Key Arena (Seattle)
2015,August 3–6,16,"$18,429,613 ",Evil Geniuses,3–1,CDEC Gaming,Key Arena (Seattle)
2016,August 3–13,16,"$20,770,460 ",Wings Gaming,3–1,Digital Chaos,Key Arena (Seattle)
2017,August 7–12,18,"$24,787,916 ",Team Liquid,3–0,Newbee,Key Arena (Seattle)
2018,August 20–25,18,"$25,532,177 ",OG,3–2,PSG.LGD,Rogers Arena (Vancouver)
2019,August 20–25,18,"$34,330,068 ",OG,3–1,Team Liquid,Mercedes-Benz Arena (Shanghai)
2020,Cancelled due to Covid-19,0,$0 ,N/A ,0-0,N/A,Cancelled Due to Covid-19
2021,October 7–17,18,"$40,018,195 ",Team Spirit,3–2,PSG.LGD,Arena Națională (Bucharest)
2022,October 15–30,20,"$18,930,775 ",Tundra Esports,3–0,Team Secret,Suntec Singapore Singapore Indoor Stadium (Singapore)
2023,October 14–29,20,"$3,143,063 ",Team Spirit,3–0,Gaimin Gladiators,Seattle Convention Center Climate Pledge Arena (Seattle)
2024,September 4–15,16,"$2,602,164 ",Team Liquid,3–0,Gaimin Gladiators,Royal Arena (Copenhagen)
